,D28-CTL_values,D28-CTL_std,D14-JFD-CCl4_values,D14-JFD-CCl4_std,D28-JFD-CCl4_values,D28-JFD-CCl4_std,D28-CCl4_values,D28-CCl4_std,D1-CCl4_values,D1-CCl4_std,D14-CCl4_values,D14-CCl4_std,D1-JFD-CCl4_values,D1-JFD-CCl4_std,D14-JFH-CCl4_values,D14-JFH-CCl4_std,D1-JFH-CCl4_values,D1-JFH-CCl4_std,D1-CTL_values,D1-CTL_std,D28-JFH-CCl4_values,D28-JFH-CCl4_std,D14-CTL_values,D14-CTL_std
351449,24.4,26.05071975973025,39.4,37.90303417933715,83.6,69.73836820574454,1.8,3.6000000000000005,22.6,6.1838499334961226,3.2,1.7204650534085255,25.0,14.38054240979804,14.6,14.840485167271316,17.2,17.81460075331468,21.2,25.451129640941282,2.8,2.3151673805580453,26.6,33.493880038000974
354800,4.8,4.791659420284375,6.0,7.293833011524188,2.6,2.8000000000000003,3.0,2.0976176963403033,4.8,5.344155686354955,2.2,3.919183588453085,5.0,5.291502622129181,9.8,12.921300244170475,5.4,3.8262252939417984,1.0,1.5491933384829668,3.8,4.308131845707603,0.4,0.8000000000000002
342786,7.2,6.64529909033446,0.2,0.4000000000000001,1.2,0.7483314773547883,0.0,0.0,0.4,0.8000000000000002,3.0,6.0,1.2,2.4,0.0,0.0,1.8,3.6000000000000005,6.0,7.563068160475615,0.2,0.4,15.2,13.287588193498472
318320,0.0,0.0,4.2,8.4,0.0,0.0,25.6,50.70147926836061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.4,1.6,3.2000000000000006,0.0,0.0
206421,0.0,0.0,0.8,1.1661903789690602,1.2,1.1661903789690602,1.6,2.7276363393971716,1.6,1.2,0.0,0.0,0.0,0.0,1.8,1.6,1.0,1.5491933384829668,2.4,3.49857113690718,0.0,0.0,2.6,3.2619012860600183
266343,5.8,5.230678732248808,3.8,5.706137047074842,3.0,3.1622776601683795,5.6,3.9293765408777004,17.2,7.05407683541936,3.0,4.560701700396552,3.2,3.0594117081556713,2.4,1.624807680927192,9.0,9.879271228182775,2.0,1.2649110640673518,2.4,1.624807680927192,4.2,2.039607805437114
4432841,16.0,17.332051234634633,1.0,1.2649110640673518,0.0,0.0,0.2,0.4,3.0,5.513619500836088,1.2,2.4,1.4,2.8,0.8,1.6000000000000003,1.8,3.6000000000000005,4.0,7.014271166700073,0.0,0.0,3.8,3.919183588453085
195711,22.6,19.975985582694037,6.6,7.2,50.2,36.90745182209143,32.8,29.7011784277998,52.4,43.72916646815944,13.4,11.074294559925702,36.4,19.61224107541002,10.2,11.496086290559932,73.6,36.761936836896936,32.8,30.002666548158683,20.8,30.386839256493925,24.6,28.959281759049205
348038,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.48989794855663565,0.8,0.7483314773547883,1.2,2.4,0.0,0.0,0.0,0.0,0.4,0.8,24.4,38.515451444842235,0.8,1.6,45.4,43.82054312762452
277143,0.0,0.0,0.6,0.7999999999999999,0.2,0.4,26.6,20.382345301755635,0.0,0.0,4.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,5.706137047074842,0.0,0.0
589071,0.8,0.4,1.2,0.7483314773547883,0.4,0.48989794855663565,9.8,5.878775382679628,0.2,0.4000000000000001,12.6,9.76933979345585,1.6,1.2,1.8,2.7129319932501077,1.0,0.8944271909999159,0.2,0.4,1.4,1.9595917942265424,1.6,1.019803902718557
